Date,DayOfWeek,Time,PassengerCount
2023-09-01,Friday,08:00,1200
2023-09-01,Friday,09:00,900
2023-09-01,Friday,10:00,500
2023-09-02,Saturday,08:00,300
2023-09-02,Saturday,09:00,200
2023-09-02,Saturday,10:00,150
2023-09-03,Sunday,08:00,100
2023-09-03,Sunday,09:00,80
2023-09-03,Sunday,10:00,70
2023-09-04,Monday,08:00,1300
2023-09-04,Monday,09:00,1100
2023-09-04,Monday,10:00,700
2023-09-05,Tuesday,08:00,1400
2023-09-05,Tuesday,09:00,1200
2023-09-05,Tuesday,10:00,800
2023-09-06,Wednesday,08:00,1500
2023-09-06,Wednesday,09:00,1300
2023-09-06,Wednesday,10:00,900
2023-09-07,Thursday,08:00,1600
2023-09-07,Thursday,09:00,1400
2023-09-07,Thursday,10:00,1000
