Country,Year,Population
USA,2000,282162411
USA,2001,284968955
USA,2002,287625193
USA,2003,290107933
USA,2004,292805298
USA,2005,295516599
USA,2006,298379912
USA,2007,301231207
USA,2008,304093966
USA,2009,306771529
USA,2010,309327143
USA,2011,311583481
USA,2012,313877662
USA,2013,316059947
USA,2014,318386421
USA,2015,320738994
USA,2016,323071342
USA,2017,325122128
USA,2018,327096265
USA,2019,329064917
USA,2020,331002647
China,2000,1262645000
China,2001,1271850000
China,2002,1280400000
China,2003,1288400000
China,2004,1296075000
China,2005,1303720000
China,2006,1311020000
China,2007,1317885000
China,2008,1324655000
China,2009,1331260000
China,2010,1337705000
China,2011,1344130000
China,2012,1350695000
China,2013,1357380000
China,2014,1364270000
China,2015,1371220000
China,2016,1378665000
China,2017,1386395000
China,2018,1392730000
China,2019,1397715000
China,2020,1402112000
India,2000,1056575544
India,2001,1074034150
India,2002,1091569250
India,2003,1109166290
India,2004,1126837060
India,2005,1144581340
India,2006,1162402980
India,2007,1180315260
India,2008,1198321900
India,2009,1216422120
India,2010,1234980190
India,2011,1254022000
India,2012,1273760180
India,2013,1293842370
India,2014,1314231280
India,2015,1334507250
India,2016,1354195680
India,2017,1373709930
India,2018,1392730870
India,2019,1410226410
India,2020,1380004385
Germany,2000,82211508
Germany,2001,82349925
Germany,2002,82488495
Germany,2003,82534176
Germany,2004,82516260
Germany,2005,82469422
Germany,2006,82376451
Germany,2007,82266372
Germany,2008,82110097
Germany,2009,81902307
Germany,2010,81776930
Germany,2011,80274983
Germany,2012,80425823
Germany,2013,80645605
Germany,2014,80982500
Germany,2015,81686611
Germany,2016,82348669
Germany,2017,82800000
Germany,2018,82905782
Germany,2019,83132799
Germany,2020,83166711
UK,2000,58892514
UK,2001,59269147
UK,2002,59647505
UK,2003,60027187
UK,2004,60407284
UK,2005,60787728
UK,2006,61168602
UK,2007,61549716
UK,2008,61930866
UK,2009,62311812
UK,2010,62766365
UK,2011,63258810
UK,2012,63705027
UK,2013,64128226
UK,2014,64602298
UK,2015,65116219
UK,2016,65648100
UK,2017,66040229
UK,2018,66460344
UK,2019,66836327
UK,2020,67215293
France,2000,59278000
France,2001,59676000
France,2002,60070000
France,2003,60460000
France,2004,60853000
France,2005,61244000
France,2006,61622000
France,2007,61975000
France,2008,62318000
France,2009,62656000
France,2010,63027000
France,2011,63461000
France,2012,63939000
France,2013,64394000
France,2014,64838000
France,2015,65273511
France,2016,66736000
France,2017,67146000
France,2018,67413000
France,2019,67060000
France,2020,65273511
Brazil,2000,174790340
Brazil,2001,176825494
Brazil,2002,178919579
Brazil,2003,181070572
Brazil,2004,183270960
Brazil,2005,185519856
Brazil,2006,187817257
Brazil,2007,190162403
Brazil,2008,192554878
Brazil,2009,194993270
Brazil,2010,197514534
Brazil,2011,200079605
Brazil,2012,202656788
Brazil,2013,205240640
Brazil,2014,207821631
Brazil,2015,210407680
Brazil,2016,212997734
Brazil,2017,210867954
Brazil,2018,211049527
Brazil,2019,211049527
Brazil,2020,212559417
Japan,2000,126843000
Japan,2001,127149000
Japan,2002,127445000
Japan,2003,127718000
Japan,2004,127761000
Japan,2005,127773000
Japan,2006,127854000
Japan,2007,128001000
Japan,2008,128063000
Japan,2009,128047000
Japan,2010,128070000
Japan,2011,127833000
Japan,2012,127629000
Japan,2013,127445000
Japan,2014,127276000
Japan,2015,127141000
Japan,2016,126994000
Japan,2017,126785000
Japan,2018,126529000
Japan,2019,126264931
Japan,2020,125836021
Canada,2000,30769700
Canada,2001,31147000
Canada,2002,31524000
Canada,2003,31901000
Canada,2004,32278000
Canada,2005,32655000
Canada,2006,33032000
Canada,2007,33409000
Canada,2008,33786000
Canada,2009,34163000
Canada,2010,34540000
Canada,2011,34917000
Canada,2012,35294000
Canada,2013,35671000
Canada,2014,36048000
Canada,2015,36425000
Canada,2016,36802000
Canada,2017,37179000
Canada,2018,37556000
Canada,2019,37933000
Canada,2020,37742154
Australia,2000,19153000
Australia,2001,19413000
Australia,2002,19651400
Australia,2003,19895400
Australia,2004,20127400
Australia,2005,20394800
Australia,2006,20697900
Australia,2007,21007300
Australia,2008,21331700
Australia,2009,21691700
Australia,2010,22031750
Australia,2011,22340024
Australia,2012,22733400
Australia,2013,23128100
Australia,2014,23582500
Australia,2015,23940980
Australia,2016,24309310
Australia,2017,24641660
Australia,2018,24992300
Australia,2019,25365745
Australia,2020,25687041
