Country,Year,Population,GDP,LifeExpectancy
USA,2000,1283642419,3794459720974,74.64
USA,2001,1291179009,3968949030285,74.89
USA,2002,1324059435,3952537491226,75.37
USA,2003,1352166606,4102626826157,75.03
USA,2004,1323905931,4256241754841,75.57
USA,2005,1359029203,4371912710194,75.94
USA,2006,1339244872,4498268317931,75.75
USA,2007,1393895197,5113969837331,75.58
USA,2008,1420158809,5104662120631,75.35
USA,2009,1456202848,4743577516227,75.49
USA,2010,1553030665,6120350909675,77.86
USA,2011,1425414295,4869179462782,77.77
USA,2012,1474217942,5023710297983,77.35
USA,2013,1378795654,6917742366275,76.64
USA,2014,1579778688,5689063490014,77.92
USA,2015,1562701335,5539553943713,80.29
USA,2016,1671206988,8056692420283,80.3
USA,2017,1625024584,8372777007710,76.38
USA,2018,1480015675,5550662409725,77.79
USA,2019,1575178197,6429046795735,81.0
USA,2020,1577219549,6647036903714,79.52
China,2000,615264936,16781973170240,60.31
China,2001,618471202,17217721670360,60.54
China,2002,636177346,18087866091066,60.88
China,2003,642924665,19285967074420,61.11
China,2004,644675060,18370108280069,60.91
China,2005,662921584,20415644555731,61.33
China,2006,649712440,20850030958817,61.23
China,2007,704690542,22909548537763,61.97
China,2008,658576768,20879168026219,60.88
China,2009,707615092,20652463677751,61.83
China,2010,666466910,26532772326729,62.09
China,2011,712662124,26072561174035,61.35
China,2012,727542161,25712369530475,61.64
China,2013,787259143,27241027738432,63.34
China,2014,792076937,28568280925584,62.18
China,2015,678894426,27588989394517,62.03
China,2016,735838600,34726432741131,62.57
China,2017,690758674,28055141025438,65.24
China,2018,723999567,33663771082782,61.41
China,2019,747352022,28965784560498,62.24
China,2020,796798149,33100145082959,65.03
India,2000,1167117161,8682067461946,66.46
India,2001,1189965499,9106389781482,66.6
India,2002,1196379910,9193399800655,66.75
India,2003,1186669409,9717964707541,67.07
India,2004,1194298623,9709633440422,67.7
India,2005,1218134169,9791705191874,67.45
India,2006,1312700199,10202571055592,67.95
India,2007,1308096286,10471248564986,68.31
India,2008,1269002791,11788117544373,68.37
India,2009,1311416849,10626510693787,69.11
India,2010,1286821894,11178523820396,67.24
India,2011,1357964222,13411934044823,67.25
India,2012,1357651905,11924150674784,69.38
India,2013,1288093382,14588410692044,68.7
India,2014,1520047041,12121836907834,68.7
India,2015,1290116980,17475557940077,71.1
India,2016,1344224328,16211267316792,71.15
India,2017,1461723659,15810718506214,68.72
India,2018,1309058022,19817084221038,72.19
India,2019,1534175845,15272122031188,69.56
India,2020,1599714485,21718886874637,72.78
Germany,2000,1212056311,7387022038935,77.02
Germany,2001,1228673965,7617264309752,77.39
Germany,2002,1260046795,7814350284274,77.36
Germany,2003,1257274711,8153446728876,78.17
Germany,2004,1249517840,8012967280712,77.94
Germany,2005,1259334310,8604986985959,78.56
Germany,2006,1331705565,8781606016541,78.5
Germany,2007,1323381205,9661431718894,78.1
Germany,2008,1353024941,10861452470234,78.85
Germany,2009,1430616260,9896752924164,78.7
Germany,2010,1402164718,10941719535683,80.52
Germany,2011,1329639889,10782055124704,79.85
Germany,2012,1475558851,9513729028118,81.75
Germany,2013,1416262493,10629280483856,81.68
Germany,2014,1518189169,14353633613616,79.56
Germany,2015,1477537891,12770587889115,82.9
Germany,2016,1336563861,11702251657934,79.22
Germany,2017,1412118304,13161474886818,80.35
Germany,2018,1473763751,16406044649798,83.83
Germany,2019,1359395212,12089847700582,82.59
Germany,2020,1490098757,12739777813673,80.45
UK,2000,1395344985,3470899369063,73.94
UK,2001,1419261780,3624672018558,74.27
UK,2002,1448014869,3720559351488,74.39
UK,2003,1467613484,3898649092588,74.79
UK,2004,1492305032,4166114340099,74.64
UK,2005,1471128368,3885410682462,75.17
UK,2006,1442365945,4241158090570,75.36
UK,2007,1488736520,4497984688132,74.52
UK,2008,1458633823,4923814352575,75.4
UK,2009,1484504766,4757999490630,76.7
UK,2010,1514639451,5073267812839,74.94
UK,2011,1486592265,5118298334401,76.55
UK,2012,1659670469,5672413957649,78.41
UK,2013,1645054300,5077141860254,78.06
UK,2014,1583195080,5480775294161,75.31
UK,2015,1512296376,7101100961627,78.91
UK,2016,1782983075,5769330461384,75.97
UK,2017,1580239796,5505357187741,78.06
UK,2018,1847589565,7007823819764,76.81
UK,2019,2007271316,7603486543512,78.59
UK,2020,1849041071,6591488698954,76.94
France,2000,691381298,11886858622236,62.32
France,2001,702135642,12293688912742,62.41
France,2002,708597797,12713925209445,62.53
France,2003,715525808,13063199384965,62.97
France,2004,732438301,12935433351668,62.95
France,2005,742570899,14124277363359,63.71
France,2006,755451921,13776079168472,62.8
France,2007,765403361,13728966552118,63.79
France,2008,804384724,15928771930368,63.61
France,2009,788063762,16024986624851,64.13
France,2010,835563148,16222179258182,65.41
France,2011,846574990,15743457384400,63.2
France,2012,747383324,15172650680522,63.36
France,2013,841665185,15800765063213,64.19
France,2014,883555704,15835425308379,66.14
France,2015,793516281,16852753281023,65.96
France,2016,869559596,24531672337392,66.37
France,2017,921622077,19154041898195,64.16
France,2018,924269485,25894721519297,68.13
France,2019,854150081,21294455428757,67.37
France,2020,845490426,30314626610581,68.09
Brazil,2000,782427446,5963908692364,77.91
Brazil,2001,787410961,6140317587575,78.28
Brazil,2002,812855366,6415915399627,78.46
Brazil,2003,810277329,6494103353030,78.45
Brazil,2004,830727274,7046183364832,79.22
Brazil,2005,850582237,6673429714441,79.08
Brazil,2006,810360126,7394542209629,79.21
Brazil,2007,888424944,7361188490430,78.71
Brazil,2008,828284728,8342383570282,80.1
Brazil,2009,829532652,7287684052567,80.62
Brazil,2010,831416497,9231306942323,80.94
Brazil,2011,837659608,7621462618554,82.26
Brazil,2012,888112776,8614653147512,81.98
Brazil,2013,1001993312,11187505511005,82.07
Brazil,2014,907440723,8144178405599,82.51
Brazil,2015,955000732,9667447353704,83.49
Brazil,2016,870209922,10306021204142,79.22
Brazil,2017,958806545,8589144215021,79.89
Brazil,2018,883351768,11972744314495,83.69
Brazil,2019,1014226326,14764020874533,81.69
Brazil,2020,941296222,14677296669617,80.92
Japan,2000,1307549369,15682046433964,79.4
Japan,2001,1333562373,16030405797288,79.65
Japan,2002,1359146404,16821501674068,79.96
Japan,2003,1369039755,17318325900457,80.24
Japan,2004,1381041659,18847211414752,79.77
Japan,2005,1368911561,19873322267531,81.22
Japan,2006,1403188121,19683513631140,80.41
Japan,2007,1380843264,19805448705012,80.75
Japan,2008,1458551024,18712788420315,82.56
Japan,2009,1559792947,22503611871989,81.67
Japan,2010,1439249583,24217480667027,82.42
Japan,2011,1418618608,26080250152581,83.23
Japan,2012,1643657746,25625528310809,82.75
Japan,2013,1512693906,28840424925766,84.13
Japan,2014,1415419206,20917917383922,82.23
Japan,2015,1687665235,32424519213226,81.33
Japan,2016,1631030326,25728639490967,85.83
Japan,2017,1759946089,33222964164366,83.37
Japan,2018,1598444375,25871186445892,81.17
Japan,2019,1834127306,35790738816036,87.29
Japan,2020,1941028583,32222133347640,86.13
Canada,2000,1114155337,17908114373292,72.12
