Date,Station,DayOfWeek,Passengers
2024-01-01,City Hall,수,2734
2024-04-15,Seoul Station,토,4180
2024-11-11,Yeouido,수,4705
2024-06-15,Gangnam,일,1707
2024-11-06,Gangnam,금,4083
2024-10-13,Gwanghwamun,금,1251
2024-03-10,City Hall,토,2318
2024-05-30,Dongdaemun,목,4195
2024-11-16,City Hall,일,3363
2024-05-06,Jamsil,화,718
2024-01-09,Itaewon,목,3898
2024-10-30,Seoul Station,금,936
2024-01-28,Seoul Station,목,3747
2024-12-19,City Hall,수,4612
2024-09-01,Gangnam,수,3563
2024-03-28,Gangnam,금,2431
2024-06-17,Dongdaemun,일,3663
2024-01-20,Jamsil,금,1168
2024-10-29,Seoul Station,목,3571
2024-12-13,Dongdaemun,목,2339
2024-07-17,Gangnam,수,730
2024-06-26,Dongdaemun,일,3110
2024-01-15,Itaewon,화,1311
2024-02-15,Gangnam,토,3246
2024-02-20,Samseong,화,1696
2024-03-14,Jamsil,금,1627
2024-01-16,Yeouido,목,813
2024-01-23,Seoul Station,화,2850
2024-02-11,Gwanghwamun,일,4370
2024-02-27,Itaewon,일,1636
2024-03-09,Hongdae,목,4342
2024-06-15,Yeouido,월,4174
2024-08-05,Gwanghwamun,수,543
2024-11-03,Gangnam,토,1149
2024-01-26,Hongdae,목,655
2024-04-08,City Hall,토,2596
2024-11-02,City Hall,일,2266
2024-05-14,Itaewon,목,1724
2024-12-15,City Hall,목,4995
2024-08-29,Hongdae,토,4823
2024-08-18,Hongdae,일,3967
2024-09-19,Jamsil,일,1410
2024-12-23,Yeouido,토,2860
2024-02-25,Seoul Station,화,2446
2024-11-29,Samseong,목,2967
2024-11-17,Dongdaemun,월,1498
2024-05-07,City Hall,화,891
2024-05-09,Itaewon,금,2453
2024-05-05,City Hall,금,3939
2024-09-25,Dongdaemun,수,4244
2024-08-16,Yeouido,일,1014
2024-09-10,Jamsil,월,1408
2024-03-16,Hongdae,일,4594
2024-12-04,Jamsil,일,4891
2024-04-30,Gangnam,목,634
2024-12-15,City Hall,월,4721
2024-02-19,Seoul Station,금,2481
2024-10-04,Gangnam,목,1676
2024-12-24,Yeouido,월,2886
2024-02-07,City Hall,토,4016
2024-07-17,Gangnam,화,512
2024-05-05,City Hall,목,3390
2024-02-07,Itaewon,일,2470
2024-07-15,Yeouido,토,3912
2024-02-19,Samseong,화,2034
2024-11-15,Hongdae,월,1201
2024-07-14,Gwanghwamun,목,4788
2024-04-08,Hongdae,일,3454
2024-02-18,Hongdae,수,1054
2024-02-07,Gangnam,수,4809
2024-07-25,Yeouido,금,4957
2024-01-17,City Hall,토,4656
2024-06-24,Jamsil,목,4658
2024-04-08,Gwanghwamun,토,666
2024-12-09,Dongdaemun,월,3698
2024-01-29,Gangnam,일,4351
2024-11-13,Gwanghwamun,수,856
2024-09-11,Samseong,일,3669
2024-12-06,Itaewon,토,3558
2024-11-16,Yeouido,일,2577
2024-05-23,Dongdaemun,금,633
2024-09-15,Gangnam,목,3425
2024-02-17,Hongdae,수,1053
2024-12-20,Seoul Station,토,3324
2024-07-26,Gangnam,토,2475
2024-03-07,Seoul Station,일,1349
2024-07-04,Hongdae,목,3223
2024-09-09,Itaewon,일,1592
2024-06-30,Yeouido,금,863
2024-01-28,City Hall,월,3386
2024-01-04,Gangnam,금,4972
2024-11-12,Jamsil,월,3273
2024-02-04,Hongdae,화,1934
2024-06-19,Gangnam,토,4306
2024-11-08,Samseong,토,4420
2024-06-21,Itaewon,수,1993
2024-08-09,Samseong,화,1604
2024-09-20,Gwanghwamun,토,1016
2024-03-07,Yeouido,월,4249
2024-08-07,Gwanghwamun,목,802
2024-02-03,Gangnam,월,2903
2024-03-24,Dongdaemun,일,2151
2024-05-21,Dongdaemun,토,858
2024-11-30,Yeouido,토,2134
2024-05-22,Jamsil,일,843
2024-03-26,Itaewon,월,3085
2024-12-13,Jamsil,목,3040
2024-05-27,Itaewon,화,4722
2024-01-15,Hongdae,토,3762
2024-05-29,Gangnam,수,4948
2024-02-20,Gwanghwamun,월,4378
2024-06-28,Dongdaemun,월,2575
2024-06-21,Samseong,수,799
2024-11-20,City Hall,일,2065
2024-01-16,Seoul Station,월,2843
2024-05-18,City Hall,수,3424
2024-05-29,Gwanghwamun,수,891
2024-10-31,Gwanghwamun,수,3219
2024-01-07,Itaewon,목,2738
2024-09-11,Jamsil,화,1519
2024-05-23,City Hall,화,3514
2024-03-18,Itaewon,금,4079
2024-03-17,Itaewon,목,3776
2024-06-20,Jamsil,금,4102
2024-08-02,Samseong,토,3667
2024-12-18,Dongdaemun,일,3277
2024-04-04,Yeouido,화,2030
2024-02-04,Dongdaemun,화,4564
2024-09-13,Seoul Station,화,4575
2024-03-31,City Hall,월,3509
2024-10-31,Dongdaemun,금,4753
2024-07-12,Yeouido,일,2684
2024-06-29,Hongdae,목,1176
2024-01-26,City Hall,금,3977
2024-07-25,Yeouido,토,1146
2024-08-19,Itaewon,화,4027
2024-01-02,Gwanghwamun,목,1978
2024-08-05,Samseong,금,4968
2024-10-15,Seoul Station,화,2906
2024-06-12,Yeouido,화,3131
2024-01-21,Dongdaemun,목,1340
2024-09-13,Gwanghwamun,토,1155
2024-12-26,Dongdaemun,수,3186
2024-09-28,City Hall,목,2921
2024-11-29,Yeouido,수,3010
2024-09-08,Dongdaemun,토,4152
2024-05-22,Jamsil,월,3990
2024-01-05,Gangnam,일,1865
2024-06-05,Gwanghwamun,목,4136
2024-08-20,Hongdae,수,3379
2024-05-19,Gwanghwamun,토,4162
2024-07-24,Dongdaemun,금,846
2024-12-16,Dongdaemun,화,3388
2024-12-17,Seoul Station,월,4063
2024-01-27,Jamsil,목,2749
2024-11-01,Hongdae,수,969
2024-09-13,Samseong,금,1114
2024-09-04,Seoul Station,수,3827
2024-06-10,City Hall,토,3476
2024-02-12,Hongdae,목,4703
2024-06-04,Yeouido,토,1810
2024-02-22,Gangnam,수,755
2024-11-12,Seoul Station,목,1669
2024-05-16,Gangnam,일,4089
2024-05-25,Jamsil,수,785
2024-02-07,City Hall,화,1534
2024-10-02,City Hall,목,1050
2024-03-31,Samseong,일,2433
2024-12-16,City Hall,목,3500
2024-03-24,Dongdaemun,월,3466
2024-01-07,Gwanghwamun,화,3636
2024-08-09,Gwanghwamun,목,765
2024-11-07,Samseong,금,1756
2024-05-30,Dongdaemun,수,4185
2024-01-27,Gwanghwamun,금,3538
2024-02-02,Yeouido,수,3547
2024-07-08,Dongdaemun,토,4136
2024-01-29,Jamsil,수,1129
2024-04-16,Itaewon,월,1627
2024-11-04,Gangnam,일,4837
2024-02-15,Dongdaemun,토,3506
2024-07-30,Gangnam,목,3760
