Date,Close
2023-01-02,99.99
2023-01-03,99.72
2023-01-04,101.01
2023-01-05,104.06
2023-01-06,103.59
2023-01-09,103.12
2023-01-10,106.28
2023-01-11,107.82
2023-01-12,106.88
2023-01-13,107.96
2023-01-16,107.03
2023-01-17,106.1
2023-01-18,106.59
2023-01-19,102.76
2023-01-20,99.31
2023-01-23,98.19
2023-01-24,96.16
2023-01-25,96.79
2023-01-26,94.97
2023-01-27,92.15
2023-01-30,95.08
2023-01-31,94.63
2023-02-01,94.76
2023-02-02,91.91
2023-02-03,90.82
2023-02-06,91.05
2023-02-07,88.74
2023-02-08,89.5
2023-02-09,88.29
2023-02-10,87.71
2023-02-13,86.51
2023-02-14,90.21
2023-02-15,90.19
2023-02-16,88.07
2023-02-17,89.72
2023-02-20,87.27
2023-02-21,87.69
2023-02-22,83.77
2023-02-23,81.12
2023-02-24,81.51
2023-02-27,82.99
2023-02-28,83.33
2023-03-01,83.1
2023-03-02,82.5
2023-03-03,79.54
2023-03-06,78.1
2023-03-07,77.18
2023-03-08,79.29
2023-03-09,79.98
2023-03-10,76.45
2023-03-13,77.1
2023-03-14,76.33
2023-03-15,74.98
2023-03-16,76.2
2023-03-17,78.26
2023-03-20,80.12
2023-03-21,78.45
2023-03-22,77.83
2023-03-23,78.49
2023-03-24,80.44
2023-03-27,79.48
2023-03-28,79.11
2023-03-29,76.9
2023-03-30,74.51
2023-03-31,76.13
2023-04-03,78.84
2023-04-04,78.7
2023-04-05,80.71
2023-04-06,81.43
2023-04-07,80.14
2023-04-10,80.86
2023-04-11,83.94
2023-04-12,83.87
2023-04-13,87.0
2023-04-14,81.76
2023-04-17,83.4
2023-04-18,83.58
2023-04-19,82.98
2023-04-20,83.16
2023-04-21,79.19
2023-04-24,78.75
2023-04-25,79.46
2023-04-26,82.42
2023-04-27,81.38
2023-04-28,79.76
2023-05-01,78.76
2023-05-02,80.59
2023-05-03,81.25
2023-05-04,80.19
2023-05-05,81.21
2023-05-08,81.41
2023-05-09,83.35
2023-05-10,81.94
2023-05-11,81.29
2023-05-12,80.5
2023-05-15,77.58
2023-05-16,78.17
2023-05-17,78.69
2023-05-18,78.7
2023-05-19,78.23
2023-05-22,75.4
2023-05-23,74.56
2023-05-24,73.87
2023-05-25,72.27
2023-05-26,71.95
2023-05-29,72.75
2023-05-30,76.53
2023-05-31,76.88
2023-06-01,77.39
2023-06-02,77.24
2023-06-05,73.4
2023-06-06,73.35
2023-06-07,73.47
2023-06-08,78.4
2023-06-09,78.01
2023-06-12,78.62
2023-06-13,78.55
2023-06-14,76.21
2023-06-15,78.5
2023-06-16,80.0
2023-06-19,81.58
2023-06-20,79.76
2023-06-21,82.57
2023-06-22,79.76
2023-06-23,80.94
2023-06-26,85.32
2023-06-27,83.34
2023-06-28,82.21
2023-06-29,82.4
2023-06-30,81.4
2023-07-03,78.3
2023-07-04,78.43
2023-07-05,76.31
2023-07-06,77.26
2023-07-07,75.42
2023-07-10,78.52
2023-07-11,76.95
2023-07-12,76.31
2023-07-13,77.93
2023-07-14,75.47
2023-07-17,75.93
2023-07-18,78.54
2023-07-19,75.33
2023-07-20,75.7
2023-07-21,76.22
2023-07-24,77.78
2023-07-25,75.31
2023-07-26,72.66
2023-07-27,73.71
2023-07-28,74.3
2023-07-31,74.8
2023-08-01,75.5
2023-08-02,74.14
2023-08-03,74.6
2023-08-04,75.19
2023-08-07,73.76
2023-08-08,77.49
2023-08-09,78.44
2023-08-10,76.05
2023-08-11,77.37
2023-08-14,75.42
2023-08-15,76.99
2023-08-16,79.31
2023-08-17,77.67
2023-08-18,79.59
2023-08-21,80.42
2023-08-22,82.06
2023-08-23,85.86
2023-08-24,85.37
2023-08-25,83.86
2023-08-28,82.08
2023-08-29,80.45
2023-08-30,80.29
2023-08-31,80.98
2023-09-01,81.53
2023-09-04,83.19
2023-09-05,83.21
2023-09-06,86.12
2023-09-07,85.59
2023-09-08,91.03
2023-09-11,92.28
2023-09-12,90.57
2023-09-13,88.42
2023-09-14,89.39
2023-09-15,88.94
2023-09-18,90.37
2023-09-19,91.32
2023-09-20,91.17
2023-09-21,89.48
2023-09-22,86.45
2023-09-25,85.55
2023-09-26,87.27
2023-09-27,87.7
2023-09-28,85.2
2023-09-29,85.55
2023-10-02,86.32
2023-10-03,84.55
2023-10-04,84.86
2023-10-05,84.98
2023-10-06,82.69
2023-10-09,83.41
2023-10-10,84.53
2023-10-11,86.69
2023-10-12,88.8
2023-10-13,86.05
2023-10-16,84.17
2023-10-17,85.2
2023-10-18,86.23
2023-10-19,87.26
2023-10-20,94.96
2023-10-23,96.11
2023-10-24,98.38
2023-10-25,100.29
2023-10-26,101.59
2023-10-27,100.96
2023-10-30,102.48
2023-10-31,100.93
2023-11-01,100.46
2023-11-02,99.49
2023-11-03,99.65
2023-11-06,104.28
2023-11-07,100.54
2023-11-08,101.92
2023-11-09,98.69
2023-11-10,97.75
2023-11-13,99.93
2023-11-14,100.05
2023-11-15,97.9
2023-11-16,96.47
2023-11-17,97.83
2023-11-20,96.37
2023-11-21,96.8
2023-11-22,96.89
2023-11-23,95.59
2023-11-24,99.88
2023-11-27,101.14
2023-11-28,97.09
2023-11-29,97.47
2023-11-30,96.14
2023-12-01,97.85
2023-12-04,96.26
2023-12-05,96.03
2023-12-06,97.04
2023-12-07,98.77
2023-12-08,96.37
2023-12-11,95.7
2023-12-12,94.75
2023-12-13,93.45
2023-12-14,96.98
2023-12-15,97.79
2023-12-18,95.27
2023-12-19,97.1
2023-12-20,101.35
2023-12-21,103.41
2023-12-22,100.37
2023-12-25,99.4
2023-12-26,101.94
2023-12-27,100.52
2023-12-28,101.41
2023-12-29,102.96
