Title,Director,Year,Rating
Jaws,Steven Spielberg,2009,6.9
E.T.,Steven Spielberg,1999,7.2
Jurassic Park,Steven Spielberg,1998,9.8
Schindler's List,Steven Spielberg,1991,5.1
Saving Private Ryan,Steven Spielberg,1985,8.6
Indiana Jones,Christopher Nolan,1986,9.9
Catch Me If You Can,Martin Scorsese,1981,8.8
Minority Report,Quentin Tarantino,2005,6.6
War of the Worlds,Steven Spielberg,1972,7.8
The Terminal,Steven Spielberg,2002,6.2
The Post,Christopher Nolan,2005,8.4
Ready Player One,Martin Scorsese,1991,9.4
Lincoln,Steven Spielberg,2016,7.1
Bridge of Spies,James Cameron,2012,7.5
The BFG,Christopher Nolan,2001,9.2
West Side Story,James Cameron,2013,9.5
Hook,Christopher Nolan,1978,6.7
Amistad,Martin Scorsese,1977,8.7
The Adventures of Tintin,Steven Spielberg,1980,6.8
War Horse,Martin Scorsese,1998,7.1
