Region,Product,Price,Quantity,Date
East,Product B,56,13,2023-01-01
West,Product C,21,2,2023-01-02
North,Product A,71,8,2023-01-03
East,Product A,89,2,2023-01-04
East,Product A,97,4,2023-01-05
West,Product A,92,15,2023-01-06
North,Product D,17,4,2023-01-07
North,Product A,30,13,2023-01-08
East,Product D,90,12,2023-01-09
South,Product D,96,13,2023-01-10
East,Product A,89,14,2023-01-11
East,Product A,79,18,2023-01-12
East,Product B,81,6,2023-01-13
East,Product C,34,11,2023-01-14
West,Product A,91,2,2023-01-15
North,Product B,98,19,2023-01-16
West,Product B,21,19,2023-01-17
West,Product C,24,5,2023-01-18
West,Product D,68,19,2023-01-19
East,Product A,35,2,2023-01-20
South,Product C,35,10,2023-01-21
North,Product A,56,2,2023-01-22
South,Product B,41,11,2023-01-23
West,Product B,19,18,2023-01-24
West,Product D,25,15,2023-01-25
South,Product B,80,9,2023-01-26
South,Product B,26,19,2023-01-27
South,Product C,32,9,2023-01-28
West,Product A,35,3,2023-01-29
West,Product A,94,9,2023-01-30
North,Product C,95,14,2023-01-31
North,Product D,16,19,2023-02-01
West,Product A,23,7,2023-02-02
South,Product B,88,16,2023-02-03
South,Product A,16,16,2023-02-04
North,Product B,18,1,2023-02-05
West,Product D,57,4,2023-02-06
North,Product C,81,4,2023-02-07
North,Product A,68,7,2023-02-08
East,Product C,96,8,2023-02-09
East,Product A,91,17,2023-02-10
East,Product B,48,5,2023-02-11
South,Product C,27,7,2023-02-12
West,Product A,68,4,2023-02-13
West,Product B,26,6,2023-02-14
West,Product C,23,7,2023-02-15
West,Product C,40,18,2023-02-16
East,Product A,33,5,2023-02-17
South,Product A,69,3,2023-02-18
South,Product A,54,7,2023-02-19
East,Product B,12,14,2023-02-20
South,Product A,46,7,2023-02-21
East,Product C,52,5,2023-02-22
West,Product C,49,5,2023-02-23
East,Product A,99,2,2023-02-24
West,Product A,64,6,2023-02-25
West,Product D,96,15,2023-02-26
North,Product C,48,10,2023-02-27
East,Product B,24,7,2023-02-28
North,Product D,13,5,2023-03-01
East,Product A,95,1,2023-03-02
East,Product A,34,13,2023-03-03
North,Product C,22,18,2023-03-04
North,Product A,91,13,2023-03-05
East,Product B,42,18,2023-03-06
South,Product C,25,5,2023-03-07
West,Product A,51,13,2023-03-08
North,Product C,75,4,2023-03-09
West,Product A,64,17,2023-03-10
South,Product A,51,3,2023-03-11
South,Product A,43,17,2023-03-12
South,Product B,39,11,2023-03-13
North,Product B,22,4,2023-03-14
South,Product C,22,2,2023-03-15
North,Product A,27,16,2023-03-16
South,Product A,41,18,2023-03-17
West,Product B,48,8,2023-03-18
West,Product A,55,3,2023-03-19
East,Product B,38,9,2023-03-20
West,Product A,71,6,2023-03-21
East,Product C,71,10,2023-03-22
West,Product A,66,10,2023-03-23
North,Product A,25,13,2023-03-24
West,Product D,65,17,2023-03-25
East,Product B,19,9,2023-03-26
East,Product A,39,17,2023-03-27
South,Product A,34,9,2023-03-28
North,Product D,93,9,2023-03-29
West,Product D,14,1,2023-03-30
South,Product B,74,2,2023-03-31
West,Product D,58,16,2023-04-01
West,Product C,12,1,2023-04-02
South,Product D,54,10,2023-04-03
South,Product C,23,18,2023-04-04
South,Product B,39,8,2023-04-05
South,Product B,77,11,2023-04-06
South,Product B,27,2,2023-04-07
West,Product B,71,8,2023-04-08
South,Product B,46,8,2023-04-09
North,Product C,34,17,2023-04-10
East,Product C,57,15,2023-04-11
South,Product B,74,17,2023-04-12
South,Product D,62,13,2023-04-13
West,Product A,88,19,2023-04-14
South,Product B,82,5,2023-04-15
South,Product D,24,12,2023-04-16
South,Product A,58,1,2023-04-17
West,Product B,97,5,2023-04-18
South,Product B,77,8,2023-04-19
East,Product C,21,13,2023-04-20
West,Product A,68,8,2023-04-21
East,Product A,46,11,2023-04-22
West,Product D,70,1,2023-04-23
South,Product C,52,13,2023-04-24
East,Product C,79,19,2023-04-25
West,Product C,48,3,2023-04-26
North,Product C,65,17,2023-04-27
South,Product A,72,5,2023-04-28
West,Product A,55,8,2023-04-29
North,Product B,97,14,2023-04-30
West,Product B,20,4,2023-05-01
North,Product C,71,11,2023-05-02
South,Product C,86,15,2023-05-03
East,Product C,34,19,2023-05-04
North,Product B,80,7,2023-05-05
West,Product D,61,19,2023-05-06
South,Product D,13,19,2023-05-07
North,Product B,68,11,2023-05-08
West,Product B,81,5,2023-05-09
West,Product B,29,5,2023-05-10
West,Product B,72,8,2023-05-11
North,Product B,63,10,2023-05-12
North,Product B,83,6,2023-05-13
North,Product C,66,15,2023-05-14
East,Product C,99,16,2023-05-15
North,Product C,50,17,2023-05-16
North,Product C,12,8,2023-05-17
North,Product B,15,8,2023-05-18
East,Product D,14,9,2023-05-19
North,Product A,14,2,2023-05-20
West,Product B,63,15,2023-05-21
North,Product A,56,18,2023-05-22
West,Product D,96,3,2023-05-23
West,Product C,58,17,2023-05-24
West,Product D,18,4,2023-05-25
East,Product B,29,4,2023-05-26
East,Product C,70,14,2023-05-27
East,Product B,44,9,2023-05-28
North,Product C,59,9,2023-05-29
West,Product A,91,18,2023-05-30
East,Product A,71,10,2023-05-31
East,Product A,26,4,2023-06-01
North,Product D,97,12,2023-06-02
East,Product B,12,8,2023-06-03
North,Product D,41,2,2023-06-04
South,Product A,22,13,2023-06-05
East,Product B,98,16,2023-06-06
South,Product A,82,2,2023-06-07
North,Product D,77,11,2023-06-08
West,Product D,23,10,2023-06-09
East,Product D,20,15,2023-06-10
North,Product A,65,17,2023-06-11
West,Product B,76,8,2023-06-12
West,Product B,38,18,2023-06-13
South,Product A,18,9,2023-06-14
North,Product B,76,8,2023-06-15
West,Product A,34,14,2023-06-16
East,Product B,85,18,2023-06-17
East,Product C,51,12,2023-06-18
South,Product C,18,19,2023-06-19
West,Product D,88,14,2023-06-20
North,Product C,49,17,2023-06-21
East,Product C,34,3,2023-06-22
West,Product C,14,7,2023-06-23
West,Product A,20,17,2023-06-24
South,Product C,68,12,2023-06-25
East,Product C,97,9,2023-06-26
East,Product D,88,15,2023-06-27
North,Product C,47,18,2023-06-28
East,Product C,81,13,2023-06-29
North,Product B,14,8,2023-06-30
East,Product D,57,14,2023-07-01
South,Product D,99,8,2023-07-02
East,Product D,27,14,2023-07-03
North,Product D,79,7,2023-07-04
North,Product D,46,12,2023-07-05
South,Product D,69,11,2023-07-06
East,Product A,57,11,2023-07-07
East,Product C,86,13,2023-07-08
South,Product D,37,18,2023-07-09
East,Product C,78,2,2023-07-10
East,Product C,86,15,2023-07-11
North,Product A,90,18,2023-07-12
East,Product D,49,15,2023-07-13
East,Product B,54,19,2023-07-14
South,Product A,71,12,2023-07-15
South,Product B,67,13,2023-07-16
West,Product C,76,11,2023-07-17
North,Product C,65,5,2023-07-18
East,Product A,49,1,2023-07-19
East,Product A,49,3,2023-07-20
West,Product B,86,19,2023-07-21
East,Product D,42,7,2023-07-22
North,Product B,15,12,2023-07-23
West,Product A,97,15,2023-07-24
North,Product B,28,5,2023-07-25
West,Product A,89,15,2023-07-26
West,Product B,49,8,2023-07-27
South,Product A,68,10,2023-07-28
North,Product A,68,16,2023-07-29
East,Product A,57,8,2023-07-30
East,Product D,50,1,2023-07-31
North,Product B,22,12,2023-08-01
East,Product B,54,5,2023-08-02
East,Product B,98,3,2023-08-03
North,Product A,62,1,2023-08-04
West,Product B,51,4,2023-08-05
North,Product B,72,8,2023-08-06
West,Product A,36,3,2023-08-07
East,Product C,47,10,2023-08-08
East,Product A,69,2,2023-08-09
East,Product B,16,11,2023-08-10
South,Product A,14,10,2023-08-11
West,Product C,54,14,2023-08-12
South,Product A,67,7,2023-08-13
South,Product B,40,2,2023-08-14
North,Product C,32,9,2023-08-15
South,Product D,51,16,2023-08-16
North,Product B,19,13,2023-08-17
North,Product C,41,9,2023-08-18
South,Product C,62,4,2023-08-19
West,Product D,39,10,2023-08-20
West,Product A,48,12,2023-08-21
West,Product A,40,17,2023-08-22
West,Product B,91,14,2023-08-23
West,Product D,11,14,2023-08-24
South,Product A,87,2,2023-08-25
South,Product D,86,11,2023-08-26
East,Product A,21,16,2023-08-27
West,Product C,48,19,2023-08-28
South,Product A,75,6,2023-08-29
East,Product D,22,19,2023-08-30
West,Product C,55,5,2023-08-31
North,Product C,36,4,2023-09-01
East,Product C,26,15,2023-09-02
South,Product D,69,4,2023-09-03
North,Product B,73,10,2023-09-04
North,Product B,97,3,2023-09-05
North,Product B,44,5,2023-09-06
East,Product D,79,6,2023-09-07
South,Product C,92,8,2023-09-08
North,Product B,39,7,2023-09-09
West,Product D,80,10,2023-09-10
North,Product B,83,6,2023-09-11
North,Product A,72,14,2023-09-12
East,Product B,37,4,2023-09-13
East,Product B,69,13,2023-09-14
South,Product C,88,17,2023-09-15
West,Product D,46,7,2023-09-16
East,Product C,31,4,2023-09-17
North,Product C,77,14,2023-09-18
South,Product C,29,3,2023-09-19
North,Product C,77,5,2023-09-20
North,Product C,73,16,2023-09-21
East,Product B,26,4,2023-09-22
South,Product C,21,2,2023-09-23
West,Product C,31,18,2023-09-24
West,Product D,26,19,2023-09-25
East,Product A,19,19,2023-09-26
East,Product B,74,17,2023-09-27
South,Product B,31,14,2023-09-28
West,Product B,99,19,2023-09-29
West,Product C,91,13,2023-09-30
West,Product C,59,12,2023-10-01
North,Product C,23,6,2023-10-02
West,Product D,73,4,2023-10-03
North,Product A,56,19,2023-10-04
South,Product C,38,16,2023-10-05
North,Product A,85,13,2023-10-06
South,Product D,45,4,2023-10-07
West,Product B,61,17,2023-10-08
West,Product C,85,1,2023-10-09
South,Product A,16,18,2023-10-10
East,Product A,38,17,2023-10-11
South,Product C,20,15,2023-10-12
East,Product B,42,11,2023-10-13
North,Product B,15,13,2023-10-14
North,Product B,88,1,2023-10-15
North,Product D,41,17,2023-10-16
West,Product A,60,6,2023-10-17
North,Product A,84,4,2023-10-18
East,Product A,67,16,2023-10-19
North,Product D,96,15,2023-10-20
South,Product A,35,15,2023-10-21
South,Product D,55,6,2023-10-22
West,Product B,38,15,2023-10-23
South,Product C,13,14,2023-10-24
East,Product A,90,11,2023-10-25
North,Product A,22,7,2023-10-26
West,Product B,48,9,2023-10-27
North,Product C,24,16,2023-10-28
North,Product D,38,5,2023-10-29
East,Product C,38,10,2023-10-30
South,Product B,84,18,2023-10-31
South,Product B,41,3,2023-11-01
North,Product C,11,13,2023-11-02
West,Product D,56,11,2023-11-03
South,Product D,87,17,2023-11-04
West,Product A,93,13,2023-11-05
South,Product D,31,6,2023-11-06
West,Product C,84,17,2023-11-07
East,Product B,36,13,2023-11-08
West,Product A,76,19,2023-11-09
East,Product A,90,19,2023-11-10
East,Product B,65,10,2023-11-11
West,Product D,30,3,2023-11-12
East,Product B,56,14,2023-11-13
North,Product D,89,19,2023-11-14
East,Product B,68,5,2023-11-15
South,Product C,93,5,2023-11-16
West,Product D,15,17,2023-11-17
North,Product C,28,10,2023-11-18
West,Product A,66,5,2023-11-19
South,Product B,78,4,2023-11-20
South,Product A,12,6,2023-11-21
South,Product A,10,4,2023-11-22
East,Product A,67,7,2023-11-23
East,Product A,47,7,2023-11-24
West,Product B,24,18,2023-11-25
West,Product A,43,3,2023-11-26
North,Product B,70,1,2023-11-27
North,Product B,44,4,2023-11-28
West,Product C,73,6,2023-11-29
East,Product D,34,9,2023-11-30
South,Product D,33,14,2023-12-01
West,Product B,21,12,2023-12-02
North,Product C,27,4,2023-12-03
East,Product B,24,12,2023-12-04
West,Product B,89,10,2023-12-05
West,Product B,36,7,2023-12-06
East,Product C,81,3,2023-12-07
West,Product D,69,14,2023-12-08
East,Product C,55,10,2023-12-09
South,Product A,98,16,2023-12-10
