id,budget,revenue,runtime,genres
1087192,150000000,596554228,125,"['판타지', '가족', '액션']"
1071585,25000000,38655333,120,"['액션', 'SF', '스릴러']"
552524,100000000,1008843338,107,"['가족', 'SF', '코미디', '모험']"
1311031,0,49400000,0,"['애니메이션', '액션', '판타지', '스릴러']"
1315986,0,0,103,"['액션', '드라마']"
1061474,225000000,432642115,130,"['SF', '모험', '액션']"
1011477,45000000,105456077,94,"['액션', '모험', '드라마']"
1119878,0,0,113,"['액션', '스릴러', '드라마']"
1124619,20000000,0,105,"['액션', '코미디']"
617126,200000000,0,115,"['SF', '모험']"
541671,90000000,131774389,125,"['액션', '스릴러', '범죄']"
1234821,180000000,656158729,134,"['SF', '모험', '액션']"
1374534,0,0,95,"['액션', '코미디', '범죄', '미스터리']"
803796,0,0,96,"['애니메이션', '판타지', '코미디', '음악', '가족', '액션']"
986056,180000000,382132351,127,"['액션', 'SF', '모험']"
574475,50000000,285316961,110,"['공포', '미스터리']"
1058537,3200000,0,103,"['공포', '액션', '판타지', '모험']"
846422,7000000,0,107,"['액션', '판타지']"
749170,0,0,113,"['액션', '스릴러', '코미디']"
968171,0,0,78,['코미디']
